n	y	eta
1	0.367882	0.367935
2	-3.8168	3.81694
3	4.24531	4.24616
4	-1.68631	1.70564
5	-4.58057	4.58259
6	1.25903	1.25918
7	3.63578	3.63934
8	-3.58213	4.02575
9	1.12899	1.12914
10	0.0152864	0.0153132
11	-1.80611	1.80682
12	1.76738	1.77125
13	-4.90098	4.90112
14	1.71519	1.71533
15	-1.80405	1.80426
16	3.5585	3.55869
17	-4.2929	4.29301
18	4.39975	4.39985
19	1.42516	1.42557
20	0.290665	0.290866
21	1.61888	1.61906
22	0.450595	0.465992
23	2.37132	2.372
24	-4.80345	4.80452
25	3.33936	3.39035
26	2.32731	2.32751
27	3.41316	3.41609
28	2.29843	2.29862
29	-0.0530438	0.0531752
30	4.58195	4.58219
31	0.74461	0.744764
32	1.70674	1.70781
33	2.88214	2.88409
34	1.40412	1.40856
35	3.81993	3.82015
36	-3.84812	3.86049
37	-1.75552	1.7564
38	-4.30653	4.30666
39	-1.52905	1.52918
40	-0.883903	0.884071
41	1.10186	1.10202
42	-1.65645	1.66591
43	0.5381	0.538162
44	-1.9728	1.97292
45	-0.34441	0.34455
46	3.62796	3.62808
47	-4.25041	4.27151
48	1.85191	1.85208
49	-3.5588	3.55959
50	-2.06098	2.06108
51	-0.0491771	0.0493205
52	0.699941	0.700084
53	-4.30662	4.30786
54	3.8111	3.81454
55	2.28343	2.28398
56	0.974632	0.975326
57	-0.629393	0.629465
58	2.90032	2.90042
59	4.96016	4.9603
60	-4.60624	4.62233
61	-1.46334	1.46348
62	0.015947	0.0160224
63	-0.643565	0.643705
64	-2.08203	2.0857
65	0.123891	0.124296
66	1.05877	1.05885
67	4.94789	4.94812
68	3.27002	3.27014
69	3.15212	3.15267
70	-0.194398	0.196826
71	-4.99169	4.99182
72	3.82085	3.82706
73	-4.90159	4.9024
74	-0.712371	0.712431
75	2.64868	2.6717
76	-0.32568	0.325733
77	-1.29688	1.29697
78	0.471582	0.471695
79	-3.44188	3.44209
