n	y	pT	pZ	theta	eta
1	-2.98271	-0.742975	-19.1718	0.0387342	3.94406
2	-3.58622	-7.03442	-130.951	0.0536662	3.61788
3	-3.75119	7.65926	-167.382	-0.0457272	nan
4	4.59764	5.04795	265.926	0.0189802	4.65747
5	0.479029	2.08849	1.37184	0.989615	0.616966
6	0.64633	5.7352	4.16131	0.943112	0.673492
7	-4.22662	6.50062	-230.925	-0.028143	nan
8	-2.06274	2.95313	-13.385	-0.217151	nan
9	-3.39839	6.5058	-100.857	-0.0644162	nan
10	1.49601	6.90353	15.1242	0.428211	1.52584
11	3.80703	9.54628	218.549	0.0436525	3.82448
12	2.14324	2.91512	14.4062	0.199656	2.30098
13	-2.79518	2.79186	-27.0803	-0.102733	nan
14	1.39142	-8.74615	16.8402	-0.479016	nan
15	1.70738	-8.13407	22.2149	-0.350993	nan
16	-4.63964	3.09632	-185.339	-0.0167047	nan
17	-0.0781509	-6.966	-0.562853	1.49017	0.0807124
18	1.21835	-6.23747	10.0168	-0.556943	nan
19	3.40432	-7.30435	113.071	-0.0645103	nan
20	-2.14276	-6.87983	-29.8879	0.226247	2.175
21	-4.63313	1.84068	-132.363	-0.0139054	nan
22	-1.85027	4.88354	-16.146	-0.293714	nan
23	-1.15854	-3.09266	-5.1373	0.54189	1.28094
24	0.81019	-6.27633	5.88803	-0.817308	nan
25	-3.13153	-3.29747	-42.95	0.0766244	3.2615
26	-0.310153	-5.48419	-1.81905	1.25053	0.325891
27	3.64859	3.77916	80.3585	0.0469942	3.7507
28	-1.79118	-8.57012	-25.5258	0.323918	1.81161
29	0.963016	-9.18216	10.4697	-0.719975	nan
30	-2.28792	-6.22019	-31.5772	0.194494	2.32734
31	-1.40401	5.55668	-11.1734	-0.461495	nan
32	-4.44753	0.694954	-82.3935	-0.00843438	nan
33	0.0484418	8.32285	0.412656	1.52126	0.0495609
34	1.05189	-1.75355	3.15851	-0.506814	nan
35	4.04398	-5.63599	168.724	-0.0333912	nan
36	-2.04905	3.25978	-14.2091	-0.225512	nan
37	3.58341	-7.36615	136.371	-0.053963	nan
38	-1.44146	6.72917	-13.8977	-0.450923	nan
39	-1.43776	-8.87821	-17.999	0.458242	1.45579
40	1.99537	-7.66303	28.4123	-0.263439	nan
41	3.76677	-3.88091	92.4414	-0.0419577	nan
42	-3.2003	5.13099	-66.6078	-0.0768811	nan
43	-1.71805	9.37721	-25.7533	-0.349196	nan
44	1.41985	6.73692	13.5795	0.460531	1.45063
45	3.717	3.18664	75.2405	0.0423275	3.85532
46	-1.0292	4.55251	-5.97617	-0.650996	nan
47	-2.99876	-0.290993	-18.2435	0.0159491	4.83148
48	4.64102	3.39873	199.299	0.0170518	4.76462
49	1.23943	2.1762	4.46795	0.45325	1.46713
50	-2.27999	0.496835	-9.03243	-0.0549503	nan
51	-4.84766	-9.09875	-590.978	0.0153949	4.86685
52	-1.3136	4.55355	-8.44802	-0.494365	nan
53	-4.24183	-5.02869	-185.66	0.0270788	4.30209
54	1.43603	-9.33605	18.8548	-0.459764	nan
55	4.50137	9.04337	415.531	0.02176	4.52079
56	-4.05891	3.96024	-125.922	-0.0314396	nan
57	-0.0991651	6.66379	-0.685621	-1.46827	nan
58	-0.839099	-5.48904	-5.43634	0.790221	0.874569
59	2.88393	0.440252	16.5186	0.0266455	4.31822
60	-0.34052	-6.2434	-2.25561	1.22411	0.353848
61	3.54721	-3.95553	75.3733	-0.0524311	nan
62	-0.287276	3.51936	-1.15127	-1.25464	nan
63	4.95766	6.63951	489.291	0.0135688	4.99311
64	-4.87341	5.29887	-365.877	-0.0144816	nan
65	-0.982279	1.65873	-2.8101	-0.533239	nan
66	-0.824251	-6.38957	-6.11255	0.807552	0.850382
67	-4.77241	0.356719	-108.444	-0.00328942	nan
68	-2.31004	-9.70743	-49.2439	0.194634	2.32662
69	3.61227	2.72829	60.506	0.0450606	3.79272
70	-2.85274	7.8501	-69.5754	-0.112354	nan
71	-1.68867	-2.9558	-9.04555	0.315831	1.83733
72	0.906423	8.48778	8.98666	0.756857	0.92233
73	-2.96331	-8.61279	-84.9542	0.101036	2.98457
74	2.41239	9.9801	56.136	0.175946	2.42814
75	-2.25444	-0.802852	-9.28805	0.0862249	3.14332
76	3.23334	5.46243	72.8259	0.0748664	3.28473
77	3.49314	-1.51224	38.6243	-0.0391325	nan
78	1.91339	-3.3685	12.6579	-0.260091	nan
79	2.85054	-2.08556	23.7463	-0.0876019	nan
80	3.99773	-0.206813	49.333	-0.00419217	nan
81	2.04541	-5.5648	22.2338	-0.245248	nan
82	-3.82173	-3.68539	-93.6394	0.0393369	3.92861
83	-0.161843	-0.178379	-0.294023	0.545319	1.27431
84	0.991508	8.54724	10.151	0.699839	1.00803
85	-3.29033	-1.05991	-28.006	0.0378276	3.96774
86	3.08686	1.86535	28.3362	0.0657343	3.41492
87	-4.53531	-9.88429	-468.392	0.0210995	4.55162
88	-2.65337	9.61345	-69.1062	-0.138224	nan
89	-3.3355	0.493289	-26.1822	-0.0188384	nan
90	-4.64969	5.41431	-298.244	-0.018152	nan
