n	y	eta
1	4.63642	4.70111
2	-3.3358	3.36748
3	1.13584	1.17075
4	-3.91096	6.59962
5	-0.711463	0.729972
6	0.879278	0.911889
7	3.8259	3.94258
8	-3.96915	4.03076
9	4.30793	4.34149
10	1.6771	1.76497
11	-2.46278	2.52885
12	2.99914	3.07274
13	-3.69884	3.74692
14	4.04906	4.23587
15	-3.9029	3.92422
16	3.26952	3.29069
17	-1.64587	1.6607
18	-2.73645	2.7555
19	2.91167	3.03867
20	-0.449523	0.470147
21	-0.22149	0.225569
22	-4.92674	5.09685
23	2.16196	2.18667
24	-3.94294	4.09856
25	4.47583	4.52601
26	4.51267	4.55506
27	-4.61255	4.67148
28	-0.212609	0.220012
29	4.7168	4.94646
30	3.00835	3.03028
31	-0.418856	0.503636
32	-3.45257	3.49632
33	1.2116	1.40296
34	2.42524	2.77457
35	2.16357	2.20393
36	1.32348	1.35881
37	-2.59453	2.76282
38	0.546493	0.555805
39	2.50085	2.63315
40	1.03733	1.11007
41	-0.662291	1.10996
42	3.98973	5.20847
43	-1.93818	2.14304
44	1.41378	1.48019
45	2.61357	3.21637
46	-1.40748	1.45008
47	-4.29999	6.16031
48	-4.87001	4.9678
49	3.95093	4.00796
50	-3.96512	4.21097
51	4.53095	4.5973
52	3.05659	3.0968
53	-1.2449	1.39198
54	-3.49615	3.52349
55	-4.79336	4.85102
56	3.23263	4.01594
57	-1.90882	1.97999
58	4.26951	4.50251
59	-4.00052	4.49524
60	3.93162	3.96095
61	-4.89458	4.95515
62	-4.19222	4.21416
63	2.66409	2.68724
64	2.71703	2.84823
65	3.493	3.52023
66	-2.27047	2.31103
67	1.11026	1.12782
68	4.96037	4.97677
69	-0.610798	0.627654
70	-3.87869	4.76009
71	4.0054	4.02578
72	4.14018	4.18492
73	1.57631	1.60654
74	3.24957	3.30562
75	-0.90702	0.963271
76	1.18885	1.53929
77	4.70533	4.79565
78	0.00382447	0.00408452
79	2.9344	3.00477
80	-1.01556	1.14535
81	-3.52723	3.64606
82	-0.548655	0.577173
83	2.50009	3.08949
84	2.44839	2.48704
85	0.875932	0.897261
86	1.48513	3.4555
87	2.92364	3.47416
88	1.97791	2.67574
89	-0.964991	2.21439
90	-2.92426	2.96284
91	-2.59133	2.62668
92	-2.67361	2.71848
93	0.261222	0.279119
94	4.48341	4.59194
95	-4.94893	5.09387
96	4.62302	4.65466
97	-4.81817	5.14466
98	4.10686	4.15891
99	3.48608	3.62707
100	4.57121	5.11026
101	0.124955	0.162981
102	4.24334	4.3375
103	-3.31834	3.5303
104	2.54855	3.01034
105	-3.55128	3.56937
106	-1.15535	1.35604
107	2.88888	3.11509
108	0.971385	1.05088
109	-1.49875	2.24487
110	1.34573	1.48775
111	3.92266	4.22768
112	0.0761562	0.0779165
113	-4.95689	5.34715
114	1.7864	1.8155
115	-4.26173	4.43991
116	-2.1088	2.46246
117	-2.58604	2.63145
118	3.91183	4.24942
119	3.35578	3.51291
120	4.81228	4.82909
121	1.08467	1.2335
122	-1.33811	1.58897
123	4.82798	4.84603
124	2.12366	2.24506
125	0.0880736	0.101793
126	1.88155	2.16701
127	4.43813	4.47905
128	-1.88478	1.90321
129	1.14073	1.15393
130	3.01043	3.11089
131	1.25924	1.27884
132	-2.25777	2.2856
133	-1.96383	1.99663
134	-2.23119	2.25998
135	3.11444	3.17748
136	-3.80356	4.20445
137	1.23803	3.00128
138	3.17266	3.43569
139	-0.508395	1.28913
140	4.39524	4.41371
